Wall time,Step,Value
1524172934.834329,0,0.6017283201217651
1524172949.952347,1,0.6587778329849243
1524172965.003379,2,0.6160951852798462
1524172980.215982,3,0.5455520153045654
1524172995.375099,4,0.4734661877155304
1524173010.455437,5,0.3958866596221924
1524173025.570864,6,0.3341006934642792
1524173040.695975,7,0.2827143371105194
1524173055.813964,8,0.2402258813381195
1524173070.881399,9,0.20188820362091064
1524173086.00467,10,0.16165944933891296
1524173101.126565,11,0.12309330701828003
1524173116.215477,12,0.08426482230424881
1524173131.304047,13,0.05698186531662941
1524173146.402125,14,0.04055909067392349
1524173161.540896,15,0.029964495450258255
1524173176.637734,16,0.022669916972517967
1524173191.738318,17,0.017821941524744034
1524173206.781789,18,0.014453000389039516
1524173221.901583,19,0.011968445032835007
1524173236.980223,20,0.009328923188149929
1524173252.073712,21,0.007871092297136784
1524173267.273217,22,0.007043772377073765
1524173282.350139,23,0.006091537419706583
1524173297.314907,24,0.005366093944758177
1524173312.269687,25,0.004611413925886154
1524173327.236384,26,0.004358284641057253
1524173342.273767,27,0.003961958456784487
1524173357.222502,28,0.003550795139744878
1524173372.151296,29,0.003416960360482335
